epoch;loss;train_acc;train_auprc;train_auroc;train_minpse;train_prec0;train_prec1;train_rec0;train_rec1;val_acc;val_auprc;val_auroc;val_loss;val_minpse;val_prec0;val_prec1;val_rec0;val_rec1
0;0.3561042776739461;0.87562156;0.4614534660147612;0.8224020177157509;0.47961751383995976;0.88495326;0.64247787;0.984087;0.18268746;0.877095;0.46223555911047076;0.8246853533723665;0.3148514195157459;0.47651006711409394;0.8867314;0.6515151;0.98348886;0.19724771
1;0.3212899608806148;0.8789592;0.49103902679454614;0.8331066418882022;0.4964788732394366;0.8884777;0.6666667;0.98345673;0.21137393;0.8777157;0.4886693038317801;0.8326017373894373;0.3059986131965263;0.4898876404494382;0.88957655;0.6381579;0.98025846;0.22247706
2;0.31634529907829584;0.87909544;0.5141978234859548;0.8397060014087155;0.5055055055055055;0.90235096;0.59532374;0.9645502;0.3331656;0.87461203;0.49509240909302865;0.8371411447802577;0.30234662610817814;0.4954128440366973;0.90263695;0.56060606;0.95836323;0.33944955
3;0.3100581815832381;0.8833186;0.5264517147071072;0.8460106098494794;0.5160965794768612;0.9014404;0.63645416;0.97124624;0.32159033;0.8808194;0.5117284642367695;0.841805686361032;0.29632821991752945;0.5068807339449541;0.9019411;0.6111111;0.96733665;0.32798165
4;0.30904629863618455;0.8843403;0.5378214632320636;0.8495437771067318;0.5128334172118773;0.90349334;0.6369668;0.96982825;0.33819827;0.8792675;0.5142087611181617;0.8403106620915851;0.2970781897088891;0.502262443438914;0.90312815;0.5943775;0.9637473;0.33944955
5;0.3074734190362323;0.887133;0.5542431638456876;0.8540716326200657;0.5259184700553599;0.8939253;0.74553573;0.98652905;0.2521389;0.88392305;0.5242576028958398;0.8410277139300697;0.29563543843342455;0.518348623853211;0.8938602;0.69375;0.98241204;0.25458714
6;0.3025953735232959;0.88597506;0.5555462602383806;0.8568599631653327;0.5324609964771012;0.89183617;0.75282717;0.98794705;0.23452441;0.8820608;0.5256091759193752;0.8423523251908297;0.2943108276522433;0.5275229357798165;0.89160156;0.68666667;0.9831299;0.23623854
7;0.3003525064522146;0.88951707;0.5561076564562014;0.8573333806975528;0.5270541082164328;0.9032634;0.69150054;0.9768394;0.33165577;0.8836127;0.5330167233684763;0.8467311985879594;0.29058937096654963;0.5275229357798165;0.90250415;0.6343612;0.97020817;0.33027524
8;0.29847684750615977;0.8893808;0.5659132326191991;0.8612610493495256;0.5354093420391763;0.89825875;0.7318008;0.98345673;0.28837442;0.88485414;0.5390268527618545;0.847888689845031;0.2917909882523346;0.5125858123569794;0.8986464;0.6683938;0.977028;0.29587156
9;0.2970319979847407;0.8893808;0.5726623916961197;0.8652832944626919;0.5415198792148969;0.89620614;0.75527424;0.9862927;0.27025667;0.88392305;0.5309081367133203;0.846375965673716;0.29419694223957427;0.517162471395881;0.8961892;0.6741573;0.97918165;0.27522936
10;0.2978341582573594;0.8905388;0.5738476121915645;0.8672460880709646;0.545271629778672;0.9085415;0.67086333;0.9711675;0.37544036;0.8820608;0.5406010487844354;0.8502003793541759;0.28976119316138516;0.5045871559633027;0.9066937;0.6060606;0.9626705;0.36697248
11;0.2950313130619334;0.89026636;0.5775735608711542;0.8673009983198653;0.5415198792148969;0.9041056;0.6942149;0.9766819;0.33819827;0.8867163;0.5459193224750144;0.8493195005170018;0.28878409220778667;0.518348623853211;0.9039039;0.6577778;0.9723618;0.33944955
12;0.2933691356976394;0.88965327;0.5814301922727722;0.8690933521014053;0.5430296930045294;0.8972593;0.7469717;0.98518986;0.27931556;0.8842334;0.5372764552818636;0.8492816309595158;0.290930803936879;0.5137614678899083;0.8967445;0.67403316;0.9788227;0.2798165
13;0.2913427526555921;0.8927185;0.5911947859098534;0.8719247584484275;0.5528292438657987;0.9059511;0.70892495;0.9773909;0.3517866;0.8867163;0.5529116188955386;0.8526586075857664;0.2870902740700063;0.5194508009153318;0.90471417;0.65367967;0.971285;0.34633029
14;0.2894727432060352;0.8914924;0.5900795535604725;0.8737209579297099;0.549874686716792;0.9092987;0.67589283;0.97140384;0.38097635;0.8836127;0.5492975406957717;0.8519629602797738;0.2900101840264822;0.5124716553287982;0.9076767;0.61509436;0.9633884;0.3738532
15;0.2878929496742214;0.89115185;0.5958133565249492;0.8760728213773965;0.5561147458480121;0.89936656;0.74651456;0.9842445;0.29642677;0.8842334;0.5550037842176322;0.8530908144918565;0.28603465638680164;0.5111111111111111;0.8975288;0.6684492;0.9777459;0.28669724
16;0.28795958959303586;0.8951706;0.6054133932672874;0.8779975346289403;0.5535983895319577;0.90542996;0.74242425;0.981251;0.34524408;0.8879578;0.5509167901964312;0.8526808353695081;0.29505844527542185;0.5079726651480638;0.90242285;0.67942584;0.9759512;0.32568806
17;0.28548559697121473;0.8947619;0.6113929454117132;0.879127773889348;0.5653923541247485;0.9052708;0.73866093;0.9809359;0.34423754;0.88919926;0.5495474791979101;0.8499303529442758;0.2903785652057271;0.5114678899082569;0.90469843;0.67873305;0.97451544;0.3440367
18;0.2847787038436506;0.89312714;0.6076804395198339;0.8802656847260462;0.5656768998490186;0.90451604;0.7247312;0.979833;0.33920482;0.8860956;0.5471296751536757;0.8529804988243972;0.28558208373930793;0.5068807339449541;0.9030323;0.6561086;0.97272074;0.3325688
